Date,Division,Cumulative_Cases,Deaths_Metric_A,Deaths_Metric_B,Source_File
09-05-2026,Dhaka,353.0,0.0,241.0,eb0902c8-d064-45f7-914b-6d5963222198.pdf
09-05-2026,Khulna,61.0,0.0,51.0,eb0902c8-d064-45f7-914b-6d5963222198.pdf
09-05-2026,Rajshahi,59.0,0.0,41.0,eb0902c8-d064-45f7-914b-6d5963222198.pdf
09-05-2026,Rangpur,1.0,0.0,5.0,eb0902c8-d064-45f7-914b-6d5963222198.pdf
10-05-2026,Dhaka,3.0,0.0,156.0,758c39cc-643d-469e-9fd1-ce1adfd0bbad.pdf
10-05-2026,Khulna,0.0,0.0,0.0,758c39cc-643d-469e-9fd1-ce1adfd0bbad.pdf
10-05-2026,Rajshahi,0.0,0.0,0.0,758c39cc-643d-469e-9fd1-ce1adfd0bbad.pdf
10-05-2026,Rangpur,0.0,0.0,0.0,758c39cc-643d-469e-9fd1-ce1adfd0bbad.pdf
11-04-2026,Chattogram,99.0,0.0,68.0,051959af-648c-400c-84ec-2cb2adc35348.pdf
11-04-2026,Dhaka,268.0,0.0,196.0,051959af-648c-400c-84ec-2cb2adc35348.pdf
11-04-2026,Khulna,48.0,0.0,57.0,051959af-648c-400c-84ec-2cb2adc35348.pdf
11-04-2026,Rajshahi,89.0,0.0,49.0,051959af-648c-400c-84ec-2cb2adc35348.pdf
11-04-2026,Rangpur,4.0,0.0,4.0,051959af-648c-400c-84ec-2cb2adc35348.pdf
11-05-2026,Dhaka,3.0,0.0,96.0,8a09e9e6-374b-40e7-a112-80a5e11a552f.pdf
11-05-2026,Khulna,0.0,0.0,0.0,8a09e9e6-374b-40e7-a112-80a5e11a552f.pdf
11-05-2026,Rajshahi,0.0,0.0,0.0,8a09e9e6-374b-40e7-a112-80a5e11a552f.pdf
11-05-2026,Rangpur,0.0,0.0,0.0,8a09e9e6-374b-40e7-a112-80a5e11a552f.pdf
12-04-2026,Chattogram,112.0,0.0,120.0,ed553882-fdf7-4222-ad7d-4abb1093d2ec.pdf
12-04-2026,Dhaka,357.0,0.0,312.0,ed553882-fdf7-4222-ad7d-4abb1093d2ec.pdf
12-04-2026,Khulna,90.0,0.0,37.0,ed553882-fdf7-4222-ad7d-4abb1093d2ec.pdf
12-04-2026,Rajshahi,79.0,0.0,77.0,ed553882-fdf7-4222-ad7d-4abb1093d2ec.pdf
12-04-2026,Rangpur,11.0,0.0,9.0,ed553882-fdf7-4222-ad7d-4abb1093d2ec.pdf
13-04-2026,Chattogram,121.0,0.0,103.0,d9d46c53-9bda-4466-8b9f-c144ca9ce3b6.pdf
13-04-2026,Dhaka,274.0,0.0,305.0,d9d46c53-9bda-4466-8b9f-c144ca9ce3b6.pdf
13-04-2026,Khulna,118.0,0.0,103.0,d9d46c53-9bda-4466-8b9f-c144ca9ce3b6.pdf
13-04-2026,Rajshahi,108.0,0.0,123.0,d9d46c53-9bda-4466-8b9f-c144ca9ce3b6.pdf
13-04-2026,Rangpur,11.0,0.0,18.0,d9d46c53-9bda-4466-8b9f-c144ca9ce3b6.pdf
14-04-2026,Chattogram,109.0,0.0,411.0,ebfabb0a-4596-4c58-b26a-b80c830eecf2.pdf
14-04-2026,Dhaka,290.0,0.0,258.0,ebfabb0a-4596-4c58-b26a-b80c830eecf2.pdf
14-04-2026,Khulna,76.0,0.0,79.0,ebfabb0a-4596-4c58-b26a-b80c830eecf2.pdf
14-04-2026,Rajshahi,119.0,0.0,89.0,ebfabb0a-4596-4c58-b26a-b80c830eecf2.pdf
14-04-2026,Rangpur,8.0,0.0,13.0,ebfabb0a-4596-4c58-b26a-b80c830eecf2.pdf
15-04-2026,Chattogram,102.0,0.0,69.0,78804b73-cf2a-4880-a9ae-2d7161e13114.pdf
15-04-2026,Dhaka,315.0,0.0,205.0,78804b73-cf2a-4880-a9ae-2d7161e13114.pdf
15-04-2026,Khulna,68.0,0.0,94.0,78804b73-cf2a-4880-a9ae-2d7161e13114.pdf
15-04-2026,Rajshahi,111.0,0.0,48.0,78804b73-cf2a-4880-a9ae-2d7161e13114.pdf
15-04-2026,Rangpur,0.0,0.0,1.0,78804b73-cf2a-4880-a9ae-2d7161e13114.pdf
16-04-2026,Chattogram,140.0,0.0,110.0,501f51e4-f446-4044-ac5f-30644a9288f1.pdf
16-04-2026,Dhaka,358.0,0.0,353.0,501f51e4-f446-4044-ac5f-30644a9288f1.pdf
16-04-2026,Khulna,97.0,0.0,60.0,501f51e4-f446-4044-ac5f-30644a9288f1.pdf
16-04-2026,Rajshahi,74.0,0.0,113.0,501f51e4-f446-4044-ac5f-30644a9288f1.pdf
16-04-2026,Rangpur,8.0,0.0,4.0,501f51e4-f446-4044-ac5f-30644a9288f1.pdf
17-04-2026,Chattogram,133.0,0.0,115.0,009ad3ca-2655-4ab3-a779-2802ba9b860b.pdf
17-04-2026,Dhaka,357.0,0.0,313.0,009ad3ca-2655-4ab3-a779-2802ba9b860b.pdf
17-04-2026,Khulna,73.0,0.0,118.0,009ad3ca-2655-4ab3-a779-2802ba9b860b.pdf
17-04-2026,Rajshahi,90.0,0.0,89.0,009ad3ca-2655-4ab3-a779-2802ba9b860b.pdf
17-04-2026,Rangpur,4.0,0.0,5.0,009ad3ca-2655-4ab3-a779-2802ba9b860b.pdf
18-04-2026,Chattogram,92.0,0.0,64.0,60c598de-df11-4bdd-b151-f9e8a08c848d.pdf
18-04-2026,Dhaka,330.0,0.0,252.0,60c598de-df11-4bdd-b151-f9e8a08c848d.pdf
18-04-2026,Khulna,44.0,0.0,68.0,60c598de-df11-4bdd-b151-f9e8a08c848d.pdf
18-04-2026,Rajshahi,85.0,0.0,51.0,60c598de-df11-4bdd-b151-f9e8a08c848d.pdf
18-04-2026,Rangpur,3.0,0.0,3.0,60c598de-df11-4bdd-b151-f9e8a08c848d.pdf
19-04-2026,Chattogram,154.0,0.0,113.0,355f0db2-d34b-4e7c-81e7-65cc6d34b5ef.pdf
19-04-2026,Dhaka,361.0,0.0,300.0,355f0db2-d34b-4e7c-81e7-65cc6d34b5ef.pdf
19-04-2026,Khulna,71.0,0.0,39.0,355f0db2-d34b-4e7c-81e7-65cc6d34b5ef.pdf
19-04-2026,Rajshahi,96.0,0.0,85.0,355f0db2-d34b-4e7c-81e7-65cc6d34b5ef.pdf
19-04-2026,Rangpur,15.0,0.0,5.0,355f0db2-d34b-4e7c-81e7-65cc6d34b5ef.pdf
20-04-2026,Chattogram,157.0,0.0,166.0,df35201c-7d6d-4caa-b524-260a7b0f7479.pdf
20-04-2026,Dhaka,382.0,0.0,370.0,df35201c-7d6d-4caa-b524-260a7b0f7479.pdf
20-04-2026,Khulna,88.0,0.0,87.0,df35201c-7d6d-4caa-b524-260a7b0f7479.pdf
20-04-2026,Rajshahi,100.0,0.0,135.0,df35201c-7d6d-4caa-b524-260a7b0f7479.pdf
20-04-2026,Rangpur,9.0,0.0,6.0,df35201c-7d6d-4caa-b524-260a7b0f7479.pdf
21-04-2026,Chattogram,162.0,0.0,122.0,51b7b213-8277-4878-bdb4-838be5272105.pdf
21-04-2026,Dhaka,445.0,0.0,389.0,51b7b213-8277-4878-bdb4-838be5272105.pdf
21-04-2026,Khulna,69.0,0.0,88.0,51b7b213-8277-4878-bdb4-838be5272105.pdf
21-04-2026,Rajshahi,105.0,0.0,105.0,51b7b213-8277-4878-bdb4-838be5272105.pdf
21-04-2026,Rangpur,8.0,0.0,4.0,51b7b213-8277-4878-bdb4-838be5272105.pdf
22-04-2026,Chattogram,192.0,0.0,131.0,cc6e4c1b-50ae-44bd-9d41-238acb41ac99.pdf
22-04-2026,Dhaka,406.0,0.0,352.0,cc6e4c1b-50ae-44bd-9d41-238acb41ac99.pdf
22-04-2026,Khulna,67.0,0.0,69.0,cc6e4c1b-50ae-44bd-9d41-238acb41ac99.pdf
22-04-2026,Rajshahi,89.0,0.0,118.0,cc6e4c1b-50ae-44bd-9d41-238acb41ac99.pdf
22-04-2026,Rangpur,9.0,0.0,6.0,cc6e4c1b-50ae-44bd-9d41-238acb41ac99.pdf
23-04-2026,Chattogram,168.0,0.0,146.0,5f159ac3-55ec-470b-ad8a-40f3642e7957.pdf
23-04-2026,Dhaka,355.0,0.0,420.0,5f159ac3-55ec-470b-ad8a-40f3642e7957.pdf
23-04-2026,Khulna,72.0,0.0,64.0,5f159ac3-55ec-470b-ad8a-40f3642e7957.pdf
23-04-2026,Rajshahi,93.0,0.0,82.0,5f159ac3-55ec-470b-ad8a-40f3642e7957.pdf
23-04-2026,Rangpur,7.0,0.0,5.0,5f159ac3-55ec-470b-ad8a-40f3642e7957.pdf
24-04-2026,Chattogram,165.0,0.0,121.0,e66eb1d2-7472-4440-be96-c15bb880f15e.pdf
24-04-2026,Dhaka,363.0,0.0,373.0,e66eb1d2-7472-4440-be96-c15bb880f15e.pdf
24-04-2026,Khulna,85.0,0.0,65.0,e66eb1d2-7472-4440-be96-c15bb880f15e.pdf
24-04-2026,Rajshahi,111.0,0.0,120.0,e66eb1d2-7472-4440-be96-c15bb880f15e.pdf
24-04-2026,Rangpur,3.0,0.0,9.0,e66eb1d2-7472-4440-be96-c15bb880f15e.pdf
25-04-2026,Chattogram,0.0,0.0,0.0,734b0559-5ba3-4bc8-9b95-b37d791acf92.pdf
25-04-2026,Dhaka,0.0,0.0,0.0,734b0559-5ba3-4bc8-9b95-b37d791acf92.pdf
25-04-2026,Khulna,0.0,0.0,0.0,734b0559-5ba3-4bc8-9b95-b37d791acf92.pdf
25-04-2026,Rajshahi,0.0,0.0,0.0,734b0559-5ba3-4bc8-9b95-b37d791acf92.pdf
25-04-2026,Rangpur,0.0,0.0,0.0,734b0559-5ba3-4bc8-9b95-b37d791acf92.pdf
26-04-2026,Chattogram,178.0,0.0,145.0,1b00ae7a-c18d-4b22-8c21-c97268764ff6.pdf
26-04-2026,Dhaka,404.0,0.0,412.0,1b00ae7a-c18d-4b22-8c21-c97268764ff6.pdf
26-04-2026,Khulna,95.0,0.0,38.0,1b00ae7a-c18d-4b22-8c21-c97268764ff6.pdf
26-04-2026,Rajshahi,117.0,0.0,126.0,1b00ae7a-c18d-4b22-8c21-c97268764ff6.pdf
26-04-2026,Rangpur,8.0,0.0,11.0,1b00ae7a-c18d-4b22-8c21-c97268764ff6.pdf
27-04-2026,Chattogram,197.0,0.0,170.0,abb6445f-bcf8-471e-af5f-fec567f3cf62.pdf
27-04-2026,Dhaka,465.0,0.0,491.0,abb6445f-bcf8-471e-af5f-fec567f3cf62.pdf
27-04-2026,Khulna,73.0,0.0,103.0,abb6445f-bcf8-471e-af5f-fec567f3cf62.pdf
27-04-2026,Rajshahi,97.0,0.0,127.0,abb6445f-bcf8-471e-af5f-fec567f3cf62.pdf
27-04-2026,Rangpur,13.0,0.0,10.0,abb6445f-bcf8-471e-af5f-fec567f3cf62.pdf
28-04-2026,Chattogram,0.0,0.0,0.0,dea6de3a-6418-47bb-becd-6c4f2cfaf879.pdf
28-04-2026,Dhaka,0.0,0.0,0.0,dea6de3a-6418-47bb-becd-6c4f2cfaf879.pdf
28-04-2026,Khulna,0.0,0.0,0.0,dea6de3a-6418-47bb-becd-6c4f2cfaf879.pdf
28-04-2026,Rajshahi,0.0,0.0,0.0,dea6de3a-6418-47bb-becd-6c4f2cfaf879.pdf
28-04-2026,Rangpur,0.0,0.0,0.0,dea6de3a-6418-47bb-becd-6c4f2cfaf879.pdf
29-04-2026,Chattogram,0.0,0.0,0.0,996ee162-7b6c-49ad-ac52-48649efce18c.pdf
29-04-2026,Dhaka,0.0,0.0,0.0,996ee162-7b6c-49ad-ac52-48649efce18c.pdf
29-04-2026,Khulna,0.0,0.0,0.0,996ee162-7b6c-49ad-ac52-48649efce18c.pdf
29-04-2026,Rajshahi,0.0,0.0,0.0,996ee162-7b6c-49ad-ac52-48649efce18c.pdf
29-04-2026,Rangpur,0.0,0.0,0.0,996ee162-7b6c-49ad-ac52-48649efce18c.pdf
30-04-2026,Chattogram,0.0,0.0,0.0,0290733a-8726-4ce3-9971-c69d95994ef2.pdf
30-04-2026,Dhaka,0.0,0.0,0.0,0290733a-8726-4ce3-9971-c69d95994ef2.pdf
30-04-2026,Khulna,0.0,0.0,0.0,0290733a-8726-4ce3-9971-c69d95994ef2.pdf
30-04-2026,Rajshahi,0.0,0.0,0.0,0290733a-8726-4ce3-9971-c69d95994ef2.pdf
30-04-2026,Rangpur,0.0,0.0,0.0,0290733a-8726-4ce3-9971-c69d95994ef2.pdf
